山西移动,#genre#
山东卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.78:8000
山东文旅,http://annaxi.lw-home.com:11111/udp/239.253.254.160:8000
山东新闻,http://annaxi.lw-home.com:11111/udp/239.253.254.23:8000
山东综艺,http://annaxi.lw-home.com:11111/udp/239.253.254.159:8000
深圳卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.91:8000
生活时尚,http://annaxi.lw-home.com:11111/udp/239.253.254.99:8000
四川卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.180:8000
四海钓鱼,http://annaxi.lw-home.com:11111/udp/239.253.254.144:8000
天津卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.89:8000
文物宝库,http://annaxi.lw-home.com:11111/udp/239.253.254.141:8000
武术世界,http://annaxi.lw-home.com:11111/udp/239.253.254.140:8000
云南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.196:8000
浙江卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.84:8000
中国交通,http://annaxi.lw-home.com:11111/udp/239.253.254.177:8000
重庆卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.38:8000
综合,http://annaxi.lw-home.com:11111/udp/239.253.254.246:8000
游戏风云,http://annaxi.lw-home.com:11111/udp/239.253.254.95:8000


北京联通,#genre#
CCTV-1 HD,http://wuyanjiang.cn:8012/udp/239.3.1.129:8008
CCTV-2 HD,http://wuyanjiang.cn:8012/udp/239.3.1.60:8084
CCTV-3 HD,http://wuyanjiang.cn:8012/udp/239.3.1.172:8001
CCTV-4 HD,http://wuyanjiang.cn:8012/udp/239.3.1.105:8092
CCTV-5 HD,http://wuyanjiang.cn:8012/udp/239.3.1.173:8001
CCTV-5+ HD,http://wuyanjiang.cn:8012/udp/239.3.1.130:8004
CCTV-6 HD,http://wuyanjiang.cn:8012/udp/239.3.1.174:8001
CCTV-7 HD,http://wuyanjiang.cn:8012/udp/239.3.1.61:8104
CCTV-8 HD,http://wuyanjiang.cn:8012/udp/239.3.1.175:8001
